step,samples,episodes_seen,epoch,loss,gradient_norm,learning_rate,update_seconds,data_seconds
18900,151200,297,4.95,0.013,0.274,3.2e-05,0.093,0.408
19000,152000,299,4.98,0.014,0.283,3.2e-05,0.093,0.386
19100,152800,300,5.00,0.013,0.275,3.1e-05,0.093,0.394
19200,153600,302,5.03,0.014,0.282,3.1e-05,0.093,0.393
19300,154400,303,5.05,0.014,0.288,3.0e-05,0.093,0.390
19400,155200,305,5.08,0.014,0.293,3.0e-05,0.093,0.429
19500,156000,306,5.11,0.014,0.276,2.9e-05,0.094,0.396
19600,156800,308,5.13,0.014,0.282,2.9e-05,0.094,0.386
19700,157600,310,5.16,0.015,0.292,2.8e-05,0.093,0.408
19800,158400,311,5.19,0.013,0.268,2.8e-05,0.093,0.383
19900,159200,313,5.21,0.013,0.269,2.8e-05,0.093,0.399
20000,160000,314,5.24,0.014,0.277,2.7e-05,0.093,0.397
20100,160800,316,5.26,0.014,0.281,2.7e-05,0.094,0.377
20200,161600,317,5.29,0.013,0.268,2.6e-05,0.094,0.393
20300,162400,319,5.32,0.013,0.267,2.6e-05,0.094,0.390
20400,163200,321,5.34,0.013,0.260,2.5e-05,0.095,0.387
20500,164000,322,5.37,0.014,0.296,2.5e-05,0.093,0.397
20600,164800,324,5.40,0.013,0.271,2.4e-05,0.093,0.409
20700,165600,325,5.42,0.013,0.262,2.4e-05,0.093,0.383
20800,166400,327,5.45,0.013,0.270,2.4e-05,0.094,0.407
20900,167200,328,5.47,0.014,0.275,2.3e-05,0.094,0.405
21000,168000,330,5.50,0.013,0.265,2.3e-05,0.094,0.406
21100,168800,332,5.53,0.013,0.264,2.2e-05,0.093,0.395
21200,169600,333,5.55,0.012,0.256,2.2e-05,0.093,0.396
21300,170400,335,5.58,0.014,0.267,2.2e-05,0.094,0.391
21400,171200,336,5.60,0.014,0.277,2.1e-05,0.093,0.391
21500,172000,338,5.63,0.013,0.264,2.1e-05,0.093,0.392
21600,172800,339,5.66,0.012,0.264,2.0e-05,0.093,0.394
21700,173600,341,5.68,0.013,0.258,2.0e-05,0.093,0.383
21800,174400,343,5.71,0.012,0.256,2.0e-05,0.093,0.396
21900,175200,344,5.74,0.012,0.239,1.9e-05,0.093,0.390
22000,176000,346,5.76,0.013,0.257,1.9e-05,0.093,0.399
22100,176800,347,5.79,0.012,0.257,1.8e-05,0.093,0.384
22200,177600,349,5.81,0.013,0.262,1.8e-05,0.093,0.399
22300,178400,350,5.84,0.012,0.246,1.8e-05,0.093,0.380
22400,179200,352,5.87,0.013,0.249,1.7e-05,0.093,0.393
22500,180000,354,5.89,0.012,0.244,1.7e-05,0.093,0.400
22600,180800,355,5.92,0.013,0.253,1.7e-05,0.094,0.413
22700,181600,357,5.95,0.013,0.264,1.6e-05,0.093,0.389
22800,182400,358,5.97,0.011,0.240,1.6e-05,0.093,0.389
22900,183200,360,6.00,0.013,0.260,1.6e-05,0.093,0.398
23000,184000,361,6.02,0.011,0.237,1.5e-05,0.093,0.380
23100,184800,363,6.05,0.013,0.256,1.5e-05,0.093,0.382
23200,185600,365,6.08,0.012,0.241,1.5e-05,0.092,0.381
23300,186400,366,6.10,0.013,0.255,1.4e-05,0.093,0.391
23400,187200,368,6.13,0.012,0.240,1.4e-05,0.092,0.399
23500,188000,369,6.15,0.013,0.246,1.4e-05,0.092,0.383
23600,188800,371,6.18,0.012,0.227,1.3e-05,0.093,0.379
23700,189600,372,6.21,0.013,0.249,1.3e-05,0.093,0.397
23800,190400,374,6.23,0.012,0.238,1.3e-05,0.093,0.396
23900,191200,376,6.26,0.011,0.228,1.2e-05,0.093,0.388
24000,192000,377,6.29,0.013,0.250,1.2e-05,0.092,0.408
24100,192800,379,6.31,0.011,0.236,1.2e-05,0.092,0.396
24200,193600,380,6.34,0.011,0.233,1.1e-05,0.092,0.392
24300,194400,382,6.36,0.012,0.236,1.1e-05,0.092,0.382
24400,195200,383,6.39,0.012,0.245,1.1e-05,0.092,0.382
24500,196000,385,6.42,0.012,0.233,1.1e-05,0.092,0.398
24600,196800,387,6.44,0.012,0.247,1.0e-05,0.093,0.386
24700,197600,388,6.47,0.012,0.241,1.0e-05,0.092,0.396
24800,198400,390,6.50,0.011,0.225,9.7e-06,0.092,0.414
24900,199200,391,6.52,0.011,0.227,9.4e-06,0.093,0.397
25000,200000,393,6.55,0.011,0.233,9.2e-06,0.093,0.381
25100,200800,394,6.57,0.012,0.236,8.9e-06,0.092,0.396
25200,201600,396,6.60,0.012,0.239,8.7e-06,0.093,0.392
25300,202400,398,6.63,0.013,0.238,8.4e-06,0.093,0.384
25400,203200,399,6.65,0.011,0.229,8.2e-06,0.092,0.385
25500,204000,401,6.68,0.012,0.223,7.9e-06,0.092,0.400
25600,204800,402,6.70,0.012,0.229,7.7e-06,0.092,0.382
25700,205600,404,6.73,0.012,0.223,7.5e-06,0.092,0.388
25800,206400,405,6.76,0.010,0.218,7.2e-06,0.092,0.403
25900,207200,407,6.78,0.012,0.230,7.0e-06,0.092,0.393
26000,208000,409,6.81,0.011,0.220,6.8e-06,0.093,0.386
26100,208800,410,6.84,0.013,0.245,6.6e-06,0.092,0.388
26200,209600,412,6.86,0.012,0.226,6.4e-06,0.092,0.413
26300,210400,413,6.89,0.011,0.231,6.2e-06,0.092,0.389
26400,211200,415,6.91,0.013,0.235,6.0e-06,0.092,0.363
26500,212000,416,6.94,0.012,0.229,5.8e-06,0.092,0.396
26600,212800,418,6.97,0.013,0.237,5.6e-06,0.093,0.378
26700,213600,420,6.99,0.012,0.227,5.5e-06,0.093,0.396
26800,214400,421,7.02,0.011,0.214,5.3e-06,0.092,0.404
26900,215200,423,7.05,0.011,0.219,5.1e-06,0.093,0.376
27000,216000,424,7.07,0.011,0.221,5.0e-06,0.093,0.416
27100,216800,426,7.10,0.012,0.223,4.8e-06,0.093,0.395
27200,217600,427,7.12,0.011,0.216,4.7e-06,0.093,0.387
27300,218400,429,7.15,0.012,0.222,4.5e-06,0.093,0.387
27400,219200,431,7.18,0.011,0.213,4.4e-06,0.093,0.384
27500,220000,432,7.20,0.012,0.223,4.2e-06,0.093,0.404
27600,220800,434,7.23,0.012,0.224,4.1e-06,0.093,0.394
27700,221600,435,7.25,0.012,0.223,4.0e-06,0.093,0.402
27800,222400,437,7.28,0.012,0.228,3.8e-06,0.094,0.398
27900,223200,438,7.31,0.011,0.221,3.7e-06,0.093,0.387
28000,224000,440,7.33,0.012,0.220,3.6e-06,0.093,0.390
28100,224800,442,7.36,0.013,0.238,3.5e-06,0.093,0.390
28200,225600,443,7.39,0.012,0.225,3.4e-06,0.093,0.391
28300,226400,445,7.41,0.011,0.207,3.3e-06,0.093,0.415
28400,227200,446,7.44,0.011,0.217,3.2e-06,0.093,0.409
28500,228000,448,7.46,0.011,0.210,3.1e-06,0.093,0.387
28600,228800,449,7.49,0.012,0.226,3.1e-06,0.093,0.379
28700,229600,451,7.52,0.011,0.211,3.0e-06,0.093,0.398
28800,230400,453,7.54,0.012,0.219,2.9e-06,0.093,0.406
28900,231200,454,7.57,0.011,0.208,2.9e-06,0.093,0.398
29000,232000,456,7.60,0.012,0.226,2.8e-06,0.093,0.396
29100,232800,457,7.62,0.010,0.205,2.7e-06,0.093,0.376
29200,233600,459,7.65,0.011,0.217,2.7e-06,0.093,0.401
29300,234400,460,7.67,0.011,0.215,2.7e-06,0.093,0.408
29400,235200,462,7.70,0.012,0.221,2.6e-06,0.093,0.394
29500,236000,464,7.73,0.012,0.218,2.6e-06,0.093,0.389
29600,236800,465,7.75,0.012,0.218,2.6e-06,0.093,0.378
29700,237600,467,7.78,0.011,0.222,2.5e-06,0.093,0.391
29800,238400,468,7.80,0.011,0.225,2.5e-06,0.093,0.383
29900,239200,470,7.83,0.011,0.217,2.5e-06,0.093,0.409
30000,240000,471,7.86,0.011,0.216,2.5e-06,0.093,0.416
